ObjID,population,dt_days,obs_ecl_lon,pred_ecl_lon,obs_ecl_lat,pred_ecl_lat,obs_vlam,pred_vlam,obs_vbeta,pred_vbeta,obs_mjd_utc,pred_epoch_mjd_tdb,pred_light_time_s,pred_delta_au,sep_arcsec,dlon_arcsec,dlat_arcsec
S0000nZKa,NEO,0.01169666132045677,272.598331466185,272.5923641485759,-26.39376201989164,-26.400213333757893,0.4001931867053101,0.4343422839066977,0.26489185181285746,0.26508193378539185,61642.01169666132,61642.0,213.35079761264743,0.4275526097615513,30.16059504882836,21.482343392881376,23.224729918514697
S0000eKpa,NEO,0.01169666132045677,275.0280267816692,275.1132031140064,-27.252759854734272,-27.284414415612023,-3.3102014435654423,-3.2421374926403526,1.2923414251365664,1.2910017307234976,61642.01169666132,61642.0,110.21843372208758,0.22087650718450183,295.42162824878733,-306.63479641391405,113.95641915990353
S00005Tka,NEO,0.012126576228183694,269.4672153433977,269.3749293857413,-26.449708099675792,-26.49947458062907,3.779781422428504,3.882093319714018,1.9613878147804042,1.9594869279673095,61642.01212657623,61642.0,77.79394047787608,0.15589818574448575,347.1864393115962,332.22944756294055,179.15933143179785
S100JjnMa,MBA,0.012126576228183694,271.0649834845486,271.067956247694,-28.269003809271876,-28.26971564148168,0.03578836852673169,0.04691439028459632,0.02901611336498044,0.02892537728638511,61642.01212657623,61642.0,660.8344937438526,1.3243049268257747,9.76768089613437,-10.70194732346863,2.5625959553011057
S0000wIka,NEO,0.012983372784219682,267.7136469548131,267.70939482433744,-23.918024591379407,-23.91460822435031,0.3134842642816688,0.34429355321346233,-0.1308059916587027,-0.13213903516625913,61642.012983372784,61642.0,237.05256710172034,0.47505069045501247,18.629996406883247,15.307669712387906,-12.298921304747523
S00000bwa,NEO,0.012983372784219682,269.62511864064106,269.63051457962706,-25.007345439530592,-25.014616351540003,-0.05878591701369246,-0.04948415948189184,0.281847745138331,0.28186696353774027,61642.012983372784,61642.0,763.5559864244435,1.5301576480981194,31.544242368016818,-19.42538034959398,26.175283233877167
S0000dZka,NEO,0.012983372784219682,269.33257603598304,269.3364212712676,-24.08927484690838,-24.094866022649924,0.002796754546862898,0.020725105092136827,0.21793201740391951,0.21752324873114223,61642.012983372784,61642.0,395.76472125622524,0.7931080704552342,23.766355845086423,-13.842847024511684,20.12823266955479
S00000VBa,NEO,0.013408023638476152,266.9810862589143,266.95936953544117,-27.11584907980951,-27.13000352363439,0.9736869565132539,1.0024237840223347,0.5401041664400505,0.5392162122040236,61642.01340802364,61642.0,263.999556091599,0.5290521546949354,86.24543184712404,78.18020450317817,50.955997769563055
S00002Cza,NEO,0.013408023638476152,267.33603781145223,267.3404532030131,-27.43722388167118,-27.443293930241936,-0.01941107839399882,-0.007820094404931612,0.23143651760081824,0.23100733538722626,61642.01340802364,61642.0,625.9647991940141,1.2544264493455115,26.010118946154957,-15.89540961917919,21.852174854720374
S00001joa,NEO,0.013831334079441149,265.20896451413614,265.2101548841755,-26.410532594637075,-26.41677445107736,0.10094962525642105,0.11007640743745355,0.2346747144684043,0.2342968173324163,61642.01383133408,61642.0,792.6676503208389,1.5884970966152179,22.796087183180052,-4.285332141671461,22.47068318501988
