ObjID,population,obs_ra_deg,obs_dec_deg,obs_vlam,obs_vbeta,pm_deg_day,sorcha_ecl_lon_footprint,sorcha_ecl_lat_footprint,obs_ecl_lon,obs_ecl_lat,foff_arcsec,dt_days
S1016o5Ia,MBA,347.7404598228231,-5.646253156209514,-0.1854851497125461,0.006162566507191139,0.1855874941633762,346.51937324099754,-0.3559289153958628,346.5254393465661,-0.3559977081141953,21.838962840087966,0.25273747254686896
S100I7Ova,MBA,315.0636699532246,-10.595795071859321,-0.18362478862371648,-0.08780666210084316,0.20353887320705155,314.4108477008879,6.167954556069466,314.4169401620907,6.169011188372108,22.135166928664113,0.14220410600682953
S10236qWa,MBA,264.4675597904145,-30.475310356037486,0.23266953760161388,0.030081864618057647,0.23460612163080477,265.1954597203432,-7.127839165157121,265.19657738580815,-7.128221282120734,4.222838638530229,0.10754082960920641
S100289Ta,MBA,268.1741256769582,-38.210164447873375,0.012724238527425678,0.08008492356108139,0.08108946434578954,268.51259843648756,-14.779317564593963,268.51631359623667,-14.78027672040849,13.38510363869282,0.09071154629782541
S100x1zEa,other,333.01136271333326,-5.222044222666631,-0.23218288362915407,-0.1652394029488726,0.2849788619130359,333.06056255371067,5.522000210047974,333.06718984150467,5.52397215529804,24.78585413841458,0.15074161536904285
S100h9m3a,MBA,271.45103414551613,-22.117238613728922,0.036669283448922,-0.015958130518450173,0.03999122751681018,271.3411659332816,1.3150727444779484,271.34459433020334,1.3152800259640844,12.361521490185993,0.09459867173427483
S1011NZba,MBA,15.833171868296233,-8.795684581073154,-0.08877523870310805,-0.09371533650892092,0.12908759546824822,11.096554074873017,-14.333449454561174,11.101498510896668,-14.332321093232672,17.717860285544976,0.28590628866368206
S100aGcha,MBA,260.4885857457458,-21.460193915812095,0.06412661185636127,0.0227435374075029,0.06804036185958227,261.1465897780832,1.6876462777506476,261.1496182322933,1.6873548772816482,10.948082609644773,0.051001733423618134
S100hvoya,MBA,334.298711727967,-11.370652736801079,-0.2153946601963343,0.05964658978280241,0.2235007277702071,332.05403324075786,-0.6733772924967772,332.0604624178552,-0.6740756721202931,23.279598954125024,0.1494738869005232
S100GyvTa,MBA,286.94597395914735,-26.358578410666443,-0.0064956260417416666,-0.013587909438073977,0.015060691902148864,285.16968065346464,-3.8077299218107608,285.1735893966471,-3.807525042779164,14.059774424881086,0.19283634683233686
S0000jWfa,NEO,263.1097774242951,-56.15997267988099,1.086302615648865,0.6243270830403456,1.2529316339622176,265.4639761855554,-32.81359710474331,265.43988174196454,-32.82969901696905,93.13187934260495,0.015984474877768662
S1007ER9a,MBA,301.0000628486117,-16.960075822607774,-0.16305087177066627,-0.010089605801168702,0.16336274645829518,299.56390442810766,3.353462752646919,299.56984278903764,3.3536021410209322,21.347390072911505,0.18602810473385034
S100l5gAa,MBA,318.1373364825833,-19.328874064014,-0.1862309977425884,0.01072490592223735,0.18653956182869308,314.72358661738525,-3.0485552135086498,314.7298101130038,-3.0486810718527813,22.377464018457832,0.20687501270731445
S100T4wUa,MBA,1.7513976412095076,-9.81728612904748,-0.19575259487753086,-0.05608724741685716,0.20362921628314162,357.6568888064184,-9.696402791471456,357.6630676016564,-9.695741544409417,22.05475825637924,0.2583083234349033
S100zFEWa,MBA,22.983718503412717,-13.688558699405023,-0.06230563199159229,-0.07123613892361269,0.09463920575858599,15.844780013849187,-21.594729446247356,15.849387556618026,-21.593863254278276,15.735032268288935,0.28763822065957356
S100ykuJa,MBA,283.7206243333846,-5.570978290618963,-0.07713433798504425,-0.049790702609064784,0.09180860614722006,284.30147215468475,17.188844861025743,284.30627226185106,17.189492822747923,16.672532981167723,0.09822302063548705
S100d2BWa,MBA,5.196183941559411,2.552835633835217,-0.11645495258006656,-0.058119506881570346,0.13015234558233077,5.775885314799798,0.2786746650212355,5.781145112147851,0.27936450680151725,19.09720889869467,0.29825266322586685
S1008xwea,MBA,299.49815133891616,-15.443908545274732,-0.15401137762762881,-0.0541900360775986,0.16326685042852856,298.4527799835064,5.1279291862321426,298.45859923611374,5.128626573123488,21.015948870613233,0.18645231012487784
S100miVUa,MBA,272.5901580250444,-13.520570395133149,0.02509288946439221,-0.030127945453850894,0.03920900660489143,272.55281759905637,9.89537210462832,272.5563859064557,9.895738756238378,12.723445230297607,0.10202543871128
S1004vhNa,MBA,356.7258387236061,0.46510852316630713,-0.17263686441373555,-0.01462638029321864,0.17325535476598802,357.17440830954513,1.7284381550812282,357.1803361963617,1.7286212214299375,21.340860162911266,0.29994745109434007
S100bLXxa,MBA,13.825680122590995,-4.35237772352962,-0.13189090107229764,0.008781765845447655,0.13218293837340309,11.007420223331701,-9.462873363694575,11.012859619850788,-9.462969971760087,19.318492602584236,0.30427079031505855
S100aTbOa,MBA,269.630478818115,-24.717491799407767,0.05548831396974629,-0.04563025277001387,0.07184060798086622,269.6610437432203,-1.279177910611681,269.6642509448553,-1.278631465152381,11.709477963973969,0.10414414855767973
S100g39va,MBA,268.55815045721266,-45.778524756823145,0.015853969883896233,0.03941397002670171,0.0424830483174787,268.90914089419175,-22.344199271089217,268.9128186737912,-22.34467499227985,12.365056267861657,0.04495425010100007
S100I50Ka,other,302.0607120963911,-18.447208672222928,-0.1289694748993564,-0.0702502034148906,0.1468612152191627,300.2436055381384,1.6877977482386755,300.2491145515281,1.688685091236536,20.079567444442738,0.18602810473385034
S00006nDa,NEO,262.2648419752554,-19.53605498681465,-0.4837198661021484,-0.2538134449139918,0.5462656621836928,262.6876263358872,3.7043184361675614,262.69727217088746,3.7073631438677577,36.34461457172607,0.051465592987369746
