tracklet_uid,center_label,magnitude_bin,population,mean_mag_V,vlam,vbeta,P_NEO_new,new_vdp_valid,new_vdp_reason,p_k10,valid_k10,rhoO_k10,reason_k10,p_k30,valid_k30,rhoO_k30,reason_k30
T2:a6fc2eecb12009c72cd8c9b00404124d,dlon+130_lat+08,V024.00_024.25,Trojans,24.046410406655465,0.1385061783724387,0.04869416603630649,0.0028625240987906544,True,ok,0.003066431917844679,True,52120.43457508062,ok,0.002632258228612133,True,60743.80056119528,ok
T2:efdfdc9592b56b0e1e132cd45d8ea47e,dlon-120_lat+08,V023.25_023.50,Trojans,23.445149648867705,0.1686324962708273,-0.0194559746301192,0.0002855644561567725,True,ok,0.0002961703360709522,True,738068.8123504492,ok,0.0002487266455352417,True,878894.4252821787,ok
T2:b0b69afae88ab27699ba94aeff0a245f,dlon-120_lat+08,V023.75_024.00,Trojans,23.925479138895945,0.1559723372919459,-0.014803247888442391,0.0002018346498973404,True,ok,0.00021063873463784727,True,1477418.9516004506,ok,0.00023106318626114948,True,1346797.4109948934,ok
T2:c5c9e9684563a865acea2f42250ab79a,dlon-120_lat+08,V023.50_023.75,Trojans,23.70264519947707,0.16582787482996061,-0.019480161847542605,0.00022023735318910063,True,ok,0.00022459302472227887,True,1137835.5782744163,ok,0.0002554336762014656,True,1000424.2778966223,ok
T2:c8627897cc38e7a03f5f0cca2fb1cc5f,dlon-120_lat+08,V023.75_024.00,Trojans,23.983522971237107,0.153694749192168,-0.010301538696607045,0.00019808127090663793,True,ok,0.00019602199320352897,True,1576166.1341748454,ok,0.0002003973675926405,True,1541746.1758982136,ok
T2:53718f0fa3638e61580390dfdd136972,dlon-120_lat+08,V023.75_024.00,Trojans,23.895815851988683,0.16604982217834224,-0.002091084552409491,0.0001752263880274536,True,ok,0.0002043234802446004,True,1885815.6726236176,ok,0.00018701268210047806,True,2060411.5640733838,ok
T2:fd47ae1264c21a91cb83c08b3b31a5b9,dlon-120_lat+08,V023.75_024.00,Trojans,23.908069904476037,0.16186472408462915,-0.028596297398954383,0.0002349013681218567,True,ok,0.0002161163343734333,True,1378190.0411028934,ok,0.0002745164414575897,True,1084933.1281435622,ok
T2:39770e495c6212b7c744aff78ee06948,dlon-120_lat+08,V023.50_023.75,Trojans,23.739238382356415,0.17144319762492252,-0.043576000745308756,0.0005357085131819005,True,ok,0.0005226046371547536,True,415162.49030281324,ok,0.0005186052351432532,True,418365.8322160583,ok
T2:b1f810826929325ecb584db392e32746,dlon-130_lat+08,V024.00_024.25,Trojans,24.168523270000104,0.16841220229082066,-0.01113662395703619,0.0002712702643302524,True,ok,0.00022282437531295237,True,1599538.7441792022,ok,0.0002157059467078552,True,1652336.2688382515,ok
T2:999ac96af58388476b5ab92159b0ee8e,dlon-120_lat+08,V023.75_024.00,Trojans,23.980364049442606,0.16809779084947116,-0.007943259182109452,0.00022573637667133449,True,ok,0.000270859136265416,True,1455573.970945986,ok,0.00022208072839818212,True,1775366.7675309367,ok
T2:fd6d3beb47b37580c7d8ff4000baaa97,dlon-130_lat+08,V024.00_024.25,Trojans,24.136843008921513,0.17218923468969188,-0.010969290407345124,0.0002451179286581739,True,ok,0.00021154334085467572,True,1795454.5672040095,ok,0.00022526649654207274,True,1686052.9636947135,ok
T2:d1e5596e0a511a021d232b7e0922f3f0,dlon-130_lat+08,V024.00_024.25,Trojans,24.082659217898893,0.17130188593456738,-0.018246511878688455,0.0003244960901812248,True,ok,0.00033563617194876604,True,1092111.8478894406,ok,0.00029509759498088403,True,1242189.4000339292,ok
T2:9a4e14f37dd66e1c27cf4821aef58789,dlon-120_lat+08,V024.25_024.50,Trojans,24.27001005369558,0.1473260146075611,-0.02073151824803293,0.0004003117358540375,True,ok,0.0003890225340669776,True,1155838.6002324256,ok,0.0004366676461406699,True,1029675.1622820747,ok
T2:0d67c374310955f80e5c691d34a0834e,dlon+130_lat+08,V023.75_024.00,Trojans,23.925136433754822,0.1823712542354072,0.030836079825238644,0.0006943511254025919,True,ok,0.0005600044653074934,True,604584.215276739,ok,0.0006982284732680338,True,484831.32450880844,ok
