index,delta_lon_from_antisun_deg,lat_deg,filename
605,110.0,25.0,prob_maps_grid_dlon+110_lat+25.npz
606,120.0,25.0,prob_maps_grid_dlon+120_lat+25.npz
607,130.0,25.0,prob_maps_grid_dlon+130_lat+25.npz
608,140.0,25.0,prob_maps_grid_dlon+140_lat+25.npz
609,-140.0,35.0,prob_maps_grid_dlon-140_lat+35.npz
610,-130.0,35.0,prob_maps_grid_dlon-130_lat+35.npz
611,-120.0,35.0,prob_maps_grid_dlon-120_lat+35.npz
612,-110.0,35.0,prob_maps_grid_dlon-110_lat+35.npz
613,-100.0,35.0,prob_maps_grid_dlon-100_lat+35.npz
614,-90.0,35.0,prob_maps_grid_dlon-090_lat+35.npz
615,-80.0,35.0,prob_maps_grid_dlon-080_lat+35.npz
616,-70.0,35.0,prob_maps_grid_dlon-070_lat+35.npz
617,-60.0,35.0,prob_maps_grid_dlon-060_lat+35.npz
618,-50.0,35.0,prob_maps_grid_dlon-050_lat+35.npz
619,-40.0,35.0,prob_maps_grid_dlon-040_lat+35.npz
620,-30.0,35.0,prob_maps_grid_dlon-030_lat+35.npz
621,-20.0,35.0,prob_maps_grid_dlon-020_lat+35.npz
622,-10.0,35.0,prob_maps_grid_dlon-010_lat+35.npz
623,0.0,35.0,prob_maps_grid_dlon+000_lat+35.npz
624,10.0,35.0,prob_maps_grid_dlon+010_lat+35.npz
625,20.0,35.0,prob_maps_grid_dlon+020_lat+35.npz
626,30.0,35.0,prob_maps_grid_dlon+030_lat+35.npz
627,40.0,35.0,prob_maps_grid_dlon+040_lat+35.npz
628,50.0,35.0,prob_maps_grid_dlon+050_lat+35.npz
629,60.0,35.0,prob_maps_grid_dlon+060_lat+35.npz
630,70.0,35.0,prob_maps_grid_dlon+070_lat+35.npz
631,80.0,35.0,prob_maps_grid_dlon+080_lat+35.npz
632,90.0,35.0,prob_maps_grid_dlon+090_lat+35.npz
633,100.0,35.0,prob_maps_grid_dlon+100_lat+35.npz
634,110.0,35.0,prob_maps_grid_dlon+110_lat+35.npz
635,120.0,35.0,prob_maps_grid_dlon+120_lat+35.npz
636,130.0,35.0,prob_maps_grid_dlon+130_lat+35.npz
637,140.0,35.0,prob_maps_grid_dlon+140_lat+35.npz
638,-140.0,50.0,prob_maps_grid_dlon-140_lat+50.npz
639,-130.0,50.0,prob_maps_grid_dlon-130_lat+50.npz
640,-120.0,50.0,prob_maps_grid_dlon-120_lat+50.npz
641,-110.0,50.0,prob_maps_grid_dlon-110_lat+50.npz
642,-100.0,50.0,prob_maps_grid_dlon-100_lat+50.npz
643,-90.0,50.0,prob_maps_grid_dlon-090_lat+50.npz
644,-80.0,50.0,prob_maps_grid_dlon-080_lat+50.npz
645,-70.0,50.0,prob_maps_grid_dlon-070_lat+50.npz
646,-60.0,50.0,prob_maps_grid_dlon-060_lat+50.npz
647,-50.0,50.0,prob_maps_grid_dlon-050_lat+50.npz
648,-40.0,50.0,prob_maps_grid_dlon-040_lat+50.npz
649,-30.0,50.0,prob_maps_grid_dlon-030_lat+50.npz
650,-20.0,50.0,prob_maps_grid_dlon-020_lat+50.npz
651,-10.0,50.0,prob_maps_grid_dlon-010_lat+50.npz
652,0.0,50.0,prob_maps_grid_dlon+000_lat+50.npz
653,10.0,50.0,prob_maps_grid_dlon+010_lat+50.npz
654,20.0,50.0,prob_maps_grid_dlon+020_lat+50.npz
655,30.0,50.0,prob_maps_grid_dlon+030_lat+50.npz
656,40.0,50.0,prob_maps_grid_dlon+040_lat+50.npz
657,50.0,50.0,prob_maps_grid_dlon+050_lat+50.npz
658,60.0,50.0,prob_maps_grid_dlon+060_lat+50.npz
659,70.0,50.0,prob_maps_grid_dlon+070_lat+50.npz
660,80.0,50.0,prob_maps_grid_dlon+080_lat+50.npz
661,90.0,50.0,prob_maps_grid_dlon+090_lat+50.npz
662,100.0,50.0,prob_maps_grid_dlon+100_lat+50.npz
663,110.0,50.0,prob_maps_grid_dlon+110_lat+50.npz
664,120.0,50.0,prob_maps_grid_dlon+120_lat+50.npz
665,130.0,50.0,prob_maps_grid_dlon+130_lat+50.npz
666,140.0,50.0,prob_maps_grid_dlon+140_lat+50.npz
