tracklet_uid,center_label,magnitude_bin,vlam,vbeta,population,w_phys,mean_mag_V,P_NEO_new,new_vdp_valid,new_vdp_reason,n_pops_new,rho_NEO_new,rho_MBA_new,rho_TNO_new,rho_Trojans_new,p_NEO_vs_OTHER,rho_NEO_pilot,rho_OTHER_pilot,total_density_pilot,pilot_reason,pilot_valid,score_diff_old_minus_new
T2:f3d0952b4bdf2fe97e4054a933bb27e3,dlon-060_lat-05,V024.50_024.75,0.05713633648414046,0.05575032250840452,MBA,1.0,24.70281290364217,0.0008116118400014672,True,ok,4,613.4317791914362,753672.8117909401,527.6460883447828,1005.2703852304453,0.0008132612578057722,613.4317791914362,753672.8117909401,754286.2435701316,ok,True,-1.6494178043049848e-06
T2:631e29eb1ba0a07a134acc5cd61d7430,dlon-060_lat-05,V023.00_023.25,-0.007972519217202208,0.008488005908173894,MBA,1.0,23.109393585869668,,False,missing_population_density:Trojans,3,,,,,0.00022664003027211024,239.90623316394624,1058294.3380303415,1058534.2442635056,ok,True,
T2:d76171fd2eb537778e53c8c5e89801b1,dlon-060_lat-05,V023.00_023.25,0.031208381816920712,-0.007113890759258937,MBA,1.0,23.058051126501766,,False,missing_population_density:Trojans,3,,,,,0.0003844939538322926,251.36624823528405,653507.283868079,653758.6501163143,ok,True,
T2:e12ce274904020491d6e9b96271c6d06,dlon-060_lat-05,V024.75_025.00,0.007301111228846125,0.027809175376861225,MBA,1.0,24.85936018532849,,False,missing_population_density:Trojans,3,,,,,0.0005497895785110817,940.3382260473803,1709419.8846686226,1710360.22289467,ok,True,
T2:b8abe5405f497f6af2d1ee9169fc37ec,dlon-060_lat-05,V024.25_024.50,0.03158849267965154,-0.030046423170508877,MBA,1.0,24.2963752038708,,False,missing_population_density:Trojans,3,,,,,0.0002391817194831404,551.9014024339731,2306904.5531569035,2307456.4545593373,ok,True,
T2:681d2a616938b2dcaa0b6a687c10f7a8,dlon-060_lat-05,V024.50_024.75,0.004584232863715235,-0.0049458905722305265,MBA,1.0,24.52911035617806,0.0002303217601353767,True,ok,4,920.3898489774779,1758544.2965644728,2235962.188853941,677.7413198489915,0.00018559165357280412,920.3898489774779,4958299.657276829,4959220.047125806,ok,True,4.473010656257258e-05
T2:034281fbd9fd1cf5c9420a5d0007c3a3,dlon-060_lat+00,V022.25_022.50,0.022499338223075992,-0.004331016176393313,MBA,1.0,22.453754627309742,,False,missing_population_density:Trojans,3,,,,,0.00023873482074113212,119.14834211069862,498963.2299251762,499082.37826728687,ok,True,
T2:c26fbc138626fc5fdfe5f694959226aa,dlon-060_lat+00,V023.75_024.00,0.026055737304099432,0.06534064860511263,MBA,1.0,23.906840975493363,,False,missing_population_density:Trojans,3,,,,,0.0005369160853029594,299.3751050501935,557283.2960888452,557582.6711938954,ok,True,
T2:c307c2b3132cd37fb1df261666604e20,dlon-060_lat-05,V023.50_023.75,0.007450924591638791,-0.004027797206465455,MBA,1.0,23.53467051037956,,False,missing_population_density:Trojans,3,,,,,0.0002744276778846648,431.076328566151,1570388.353726597,1570819.430055163,ok,True,
T2:7d2a4d7ec03fbc9017b1f1c253596395,dlon-060_lat-05,V022.50_022.75,0.06285173923134386,-0.0009460387830056488,MBA,1.0,22.730013908409553,,False,missing_population_density:Trojans,3,,,,,0.00034827710489352526,148.09316202077417,425068.37941101554,425216.4725730363,ok,True,
