tracklet_id,source_file,source_file_index,ObjID,night,n_det,night_span_min,dt_min,mean_ra,mean_dec,mean_dra,mean_ddec,mean_mag,ra0,dec0,mjd0_tai,mjd0_utc,mag0,filter0,snr0,ra1,dec1,mjd1_tai,mjd1_utc,mag1,filter1,snr1,H_r,H_filter,range_km,obj_sun_km,ecl_lon,ecl_lat,prob_map,prob_map_file,prob_map_obstime_str,prob_map_center_lon_deg,prob_map_center_lat_deg,prob_map_dist_deg,population,a_au,e,q_au,n_det_per_night,P_NEO_vdp,vlam,vbeta,mag_bin_label,digest2_id,P_NEO_d2,mean_mag_V,mag_bin_label_Vband,P_NEO_vdp_Vband,observationId0,observationStartMJD0,visitExposureTime0,visitTime0,fieldRA0,fieldDec0,rotSkyPos0,band0,visit_match_error_s0,observationId1,observationStartMJD1,visitExposureTime1,visitTime1,fieldRA1,fieldDec1,rotSkyPos1,band1,visit_match_error_s1,field_key,on_sensor0,detector0,on_sensor1,detector1,field_label
inst00000_part002:S00000zva:61642,inst00000_part002.h5,2,S00000zva,61642,2,34.314723999705166,34.314723999705166,9.542069708289546,-4.4737878679041465,-0.22728674588916165,-0.0714914825755138,21.54806891773983,9.544777631892146,-4.472935158835297,61642.30340807013,61642.302979829394,21.80183987126474,r,43.76279163902367,9.539361784686946,-4.4746405769729956,61642.32723773958,61642.32680949884,21.29429796421492,i,47.390490167742534,18.651997900290848,18.40250369508452,190992460.33839458,325497353.9637952,6.989506906481398,-7.891971118409582,grid_dlon+030_lat-08,prob_maps_grid_dlon+030_lat-08.npz,2026-01-01T00:00:00,130.20000624993276,-8.0,3.6617148451959105,NEO,1.8330143841747204,0.318002207794,1.250111763089,2,0.0024572653248602725,-0.23864048461115397,0.024090512819724193,mag21,D510117,1.0,22.15056522265531,mag22,0.003499037915765865,374119,61642.30322867198,30.0,31.0,9.08702925754262,-4.299216293602096,134.79862427186353,r,0.0,374171,61642.32705834143,30.0,31.0,9.08702925754262,-4.299216293602096,118.99293609916184,i,0.0,374119-374171,True,135,True,136,S
inst00689_part006:S10259LLa:61642,inst00689_part006.h5,11030,S10259LLa,61642,3,34.173501619370654,34.173501619370654,329.1743949996502,-10.102574655829331,-0.18897820993894446,-0.19137791456617165,23.11415975202434,329.1766395723883,-10.100290987388139,61642.14693033903,61642.146502098294,23.33211737861219,r,10.419651083151221,329.17215042691214,-10.104858324270523,61642.17066193738,61642.17023369664,22.89620212543649,i,12.103248212213552,20.406730234734848,20.15049823034145,211866783.954992,362864842.88546145,327.78448231745335,2.2772292779057213,grid_dlon-010_lat+02,prob_maps_grid_dlon-010_lat+02.npz,2026-01-01T00:00:00,90.20000624993276,2.0,4.6176598141979435,MBA,2.889595408249395,0.28916,2.05404,3,0.0008947094727810355,-0.24045247413846432,-0.11624679325524051,mag23,D510390,0.0,23.733661521682887,mag23,0.0003956217075139749,373773,61642.14675094088,30.0,31.0,330.4153278564736,-10.669984224775128,173.57048323698308,r,0.0,373825,61642.17048253923,30.0,31.0,330.4153278564736,-10.669984224775128,156.47074690898765,i,0.0,373773-373825,True,66,True,56,N
inst00098_part004:S1009cV8a:61642,inst00098_part004.h5,1572,S1009cV8a,61642,2,36.440662667155266,36.440662667155266,312.3276751389908,-17.78474839125282,-0.16215167799005564,-0.04006384774656035,23.193177320605262,312.3297174126349,-17.784230886390148,61642.2064495027,61642.20602126196,23.348693548426507,i,8.905092626388715,312.32563286534673,-17.78526589611549,61642.23175551844,61642.2313272777,23.037661092784017,z,6.345646119616291,19.27733726318173,18.72206529079428,295375655.12319314,439570598.6918109,309.87673381124426,-0.012170881696651523,grid_dlon-020_lat+00,prob_maps_grid_dlon-020_lat+00.npz,2026-01-01T00:00:00,80.20000624993276,0.0,3.357105916203069,MBA,3.220851388670603,0.10922,2.86907,2,0.0008560035238885313,-0.159491896933655,0.0027569678576778445,mag23,D511872,0.0,24.03111202981098,mag24+,0.0009745221160724418,373908,61642.20627010455,30.0,31.0,312.23052900564977,-17.803267454871637,83.7253105327916,i,0.0,373964,61642.23157612029,30.0,31.0,312.23052900564977,-17.803267454871637,78.47421536379193,z,0.0,373908-373964,True,94,True,94,O
inst00081_part009:S1007dp4a:61642,inst00081_part009.h5,1305,S1007dp4a,61642,2,34.35887502506375,34.35887502506375,359.28688802504837,1.3724263643479815,-0.15303181626176826,-0.11553585298918956,23.76371428496762,359.2887124897165,1.3738227497393685,61642.299951649904,61642.299523409165,23.94190856478525,r,4.32742280115553,359.28506356038025,1.3710299789565943,61642.32381197978,61642.32338373904,23.585520005149988,i,4.881073203822146,19.84447872426307,19.60227419514979,287916620.53093624,427036496.8146917,359.88789710272124,1.5428076903775643,grid_dlon+030_lat+02,prob_maps_grid_dlon+030_lat+02.npz,2026-01-01T00:00:00,130.20000624993276,2.0,3.468344980786619,MBA,2.5914401612864046,0.17662,2.13374,2,0.001159970483087845,-0.18639434296947507,-0.0451239380843695,mag23,D513992,0.0,24.34144008981783,mag24+,0.0011992746813813489,374111,61642.299772251754,30.0,31.0,359.99405749316537,0.7464332850016774,123.00642522751502,r,0.0,374163,61642.32363258163,30.0,31.0,359.99405749316537,0.7464332850016774,111.19553170246147,i,0.0,374111-374163,True,45,True,45,AA
inst00611_part002:S101EiuDa:61642,inst00611_part002.h5,9778,S101EiuDa,61642,2,34.167453416157514,34.167453416157514,326.8854009281884,-13.362223198189085,-0.2537106592072084,-0.06794924365609975,22.545040458403165,326.88841354843896,-13.361430360472383,61642.14565229184,61642.1452240511,22.8566188191007,r,17.834028102248837,326.88238830793784,-13.363016035905787,61642.16937969004,61642.168951449305,22.233462097705626,i,20.671050331361563,20.133008026289865,19.874242633036296,190204452.72427446,340853352.5584435,324.57411412724605,-0.0348017428363242,grid_dlon-010_lat+00,prob_maps_grid_dlon-010_lat+00.npz,2026-01-01T00:00:00,90.20000624993276,0.0,1.400653197127119,MBA,2.363685918234913,0.2295,1.82122,2,0.0010403767248948006,-0.25537811900255725,0.018173390800715738,mag22,D514157,0.0,23.17079782536687,mag23,0.0018548271778114724,373770,61642.14547289369,30.0,31.0,326.7487961931708,-14.202079732179511,172.52492961637122,r,0.0,373822,61642.16920029189,30.0,31.0,326.7487961931708,-14.202079732179511,150.5092126177087,i,0.0,373770-373822,True,48,True,41,Q
inst00100_part004:S1009s8Qa:61642,inst00100_part004.h5,1604,S1009s8Qa,61642,2,34.18257205397822,34.18257205397822,261.5333085769404,-21.92952271331439,0.10975746816476087,-0.0180399785330571,19.827284699738534,261.5320073386893,-21.929308388457578,61642.10585084488,61642.10542260414,19.956067098355753,i,99.67258092486048,261.5346098151915,-21.929737038171204,61642.12958874214,61642.1291605014,19.698502301121316,z,95.66875566765285,15.740349370517396,15.11502762352748,310441294.43924403,390667020.1861962,262.14410393688104,1.2792788517856508,grid_dlon-070_lat+01,prob_maps_grid_dlon-070_lat+01.npz,2026-01-01T00:00:00,30.200006249932756,1.0,1.0291787747000334,MBA,2.705389418337167,0.0871,2.46975,2,0.0021656554138447777,0.10272340322261114,-0.01204451381646776,18_20,D514312,0.08,20.792257076211055,mag20,0.0028084642203698496,373684,61642.105671446734,30.0,31.0,262.3464125266547,-22.444355960056903,71.11750764041383,i,6.28642737865448e-07,373736,61642.12940934399,30.0,31.0,262.3464125266547,-22.444355960056903,70.824918879744,z,0.0,373684-373736,True,43,True,43,Z
inst00019_part005:S1000fxua:61642,inst00019_part005.h5,309,S1000fxua,61642,2,34.17127062915824,34.17127062915824,321.8983913328481,-14.031356687307186,-0.19921618737073732,-0.06010080397777855,20.761281728978368,321.9007516286137,-14.030642506176356,61642.14436164236,61642.14393340162,20.99251941930121,r,85.6967327770927,321.89603103708254,-14.032070868438016,61642.168091691405,61642.167663450666,20.530044038655525,i,73.71122048218672,16.569444428023523,16.332656109526653,312806517.75984454,461952047.9806303,319.7727418334661,0.8985328544836841,grid_dlon-010_lat+01,prob_maps_grid_dlon-010_lat+01.npz,2026-01-01T00:00:00,90.20000624993276,1.0,3.401392530873746,MBA,2.909948496107762,0.06609,2.71763,2,0.0004545107339976197,-0.2023971230790211,0.003425288549268196,mag20,D515303,0.01,21.338625619451715,mag21,0.0005067127636997411,373767,61642.14418224421,30.0,31.0,321.102050420575,-13.536656576810467,159.46952532922018,r,0.0,373819,61642.167912293255,30.0,31.0,321.102050420575,-13.536656576810467,134.67718928161105,i,0.0,373767-373819,True,131,True,141,P
inst00120_part007:S100bVrta:61642,inst00120_part007.h5,1927,S100bVrta,61642,2,36.52327183401212,36.52327183401212,297.4496534802644,-24.054052747614975,-0.07736874631695075,-0.0490547134834777,21.669375300200638,297.45063037428946,-24.05343112763684,61642.19621749138,61642.19578925064,21.787747433130956,i,32.68859133573365,297.44867658623923,-24.05467436759311,61642.2215808746,61642.22115263386,21.55100316727032,z,20.04487371471901,19.983162435997794,19.371733671690194,145722530.95108852,281957700.0865338,294.9255264927129,-2.959149163530282,grid_dlon-040_lat-03,prob_maps_grid_dlon-040_lat-03.npz,2026-01-01T00:00:00,60.200006249932756,-3.0,1.7022845086978697,MBA,2.180298786181139,0.1432,1.86808,2,0.0016544276957023236,-0.07856064462093837,-0.03524884765446475,mag21,D515879,0.0,22.647641628510446,mag22,0.0021057059660525568,373884,61642.19603809323,30.0,31.0,297.722561514484,-24.817875390727316,67.88522708467251,i,0.0,373940,61642.22140147645,30.0,31.0,297.722561514484,-24.817875390727316,68.13687199255678,z,0.0,373884-373940,True,85,True,85,X
inst00000_part000:S000007ua:61642,inst00000_part000.h5,0,S000007ua,61642,3,34.31595815112814,34.31595815112814,249.49194078227592,-24.659581098675567,0.030650672344004065,0.00031593295301675,23.295968962293834,249.4916047707341,-24.6595804961457,61642.056621776544,61642.056193535806,23.539366729409316,r,5.751265166794227,249.49227679381772,-24.659581701205436,61642.08045230304,61642.0800240623,23.052571195178352,i,6.049477474784447,16.733958423197027,16.487055805253103,595566784.7414305,639731035.3666947,251.4117629055386,-2.533727344470044,grid_dlon-080_lat-03,prob_maps_grid_dlon-080_lat-03.npz,2026-01-01T00:00:00,20.200006249932756,-3.0,1.7380896684962817,NEO,2.773397382562791,0.586770933584,1.146048411197,3,0.001575964778861795,0.02756595149041501,0.004198487086877011,mag23,D516610,0.16,23.88491315704073,mag23,0.0013976138780773552,373573,61642.056442378394,30.0,31.0,248.6997815157693,-23.400569102553263,70.20225368589401,r,0.0,373625,61642.08027290489,30.0,31.0,248.6997815157693,-23.400569102553263,69.7145294114945,i,0.0,373573-373625,True,115,True,115,M
inst00535_part011:S101knqYa:61642,inst00535_part011.h5,8571,S101knqYa,61642,2,36.431736872764304,36.431736872764304,319.2342151617359,-18.012771907200182,-0.249144431441417,-0.01077515641308685,23.047221197846333,319.2373762046615,-18.012658131072065,61642.207303253446,61642.20687501271,23.234447446309254,i,8.779561170855331,319.23105411881033,-18.012885683328296,61642.23260307072,61642.23217482998,22.859994949383413,z,5.96684141572603,20.51207231068713,19.911875377079596,210750328.9748809,358792759.04261494,316.11253424710264,-2.103605457831697,grid_dlon-020_lat-02,prob_maps_grid_dlon-020_lat-02.npz,2026-01-01T00:00:00,80.20000624993276,-2.0,2.8797388748506174,MBA,2.3615940897976175,0.03895,2.26961,2,0.0019837068890436772,-0.22931279084578982,0.06115530318584008,mag23,D518616,0.0,23.995345820766737,mag23,0.001020515315191035,373910,61642.207123855296,30.0,31.0,317.51308485366314,-17.84516531742886,88.53112261378887,i,0.0,373966,61642.23242367257,30.0,31.0,317.51308485366314,-17.84516531742886,80.808015289907,z,0.0,373910-373966,True,179,True,186,I
inst00062_part006:S1004Ywza:61642,inst00062_part006.h5,998,S1004Ywza,61642,2,34.225487157236785,34.225487157236785,326.8919071562935,-3.9518774879032317,-0.23466005952809021,-0.07840521818885049,19.494521572164338,326.89469827856055,-3.9509470079831153,61642.153291680894,61642.152863440155,19.704163509846794,r,202.5880449053189,326.88911603402636,-3.952807967823348,61642.17705938031,61642.17663113957,19.284879634481882,i,214.65039155538946,16.116937179965092,15.899636365039619,248158786.1738134,398096213.8511306,327.7405335363976,8.831294798172333,grid_dlon-010_lat+08,prob_maps_grid_dlon-010_lat+08.npz,2026-01-01T00:00:00,90.20000624993276,8.0,4.6342815370764745,MBA,2.4375930726380233,0.09345,2.2098,2,0.0008414442879771608,-0.2497910991704633,0.005123925956790703,18_20,D519748,0.24,19.974885207124718,18_20,0.0017939408917504885,373788,61642.153112282744,30.0,31.0,325.93481101602737,-4.2091162795698995,156.0050468846943,r,0.0,373840,61642.17687998216,30.0,31.0,325.93481101602737,-4.2091162795698995,139.63401455881424,i,0.0,373788-373840,True,87,True,126,G
inst00357_part005:S100KBjja:61642,inst00357_part005.h5,5717,S100KBjja,61642,2,34.225487157236785,34.225487157236785,325.2745565869533,-4.151481244185022,-0.2005905096113832,-0.04866306908930365,23.017342970209633,325.2769369846798,-4.150907402039071,61642.153291680894,61642.152863440155,23.2018261644586,r,13.059781383557352,325.27217618922674,-4.152055086330973,61642.17705938031,61642.17663113957,22.83285977596067,i,14.173024527792185,19.239730541026667,19.02431805582355,275498309.3958547,425081627.88796955,326.13346299104757,9.1823452283533,grid_dlon-010_lat+08,prob_maps_grid_dlon-010_lat+08.npz,2026-01-01T00:00:00,90.20000624993276,8.0,3.180017307155337,MBA,3.0968109085228415,0.10382,2.7753,2,0.0003284363307419233,-0.20755012357715324,0.020338921357364675,mag23,D521101,0.01,23.503024914386085,mag23,0.000323094392447071,373788,61642.153112282744,30.0,31.0,325.93481101602737,-4.2091162795698995,156.0050468846943,r,0.0,373840,61642.17687998216,30.0,31.0,325.93481101602737,-4.2091162795698995,139.63401455881424,i,0.0,373788-373840,True,99,True,60,G
inst00683_part001:S1022Qara:61642,inst00683_part001.h5,10929,S1022Qara,61642,2,34.225487157236785,34.225487157236785,326.3684099848877,-3.91365188350058,-0.22517827980587696,-0.1433829047495844,23.248752018171558,326.37109448539456,-3.9119511910591545,61642.153291680894,61642.152863440155,23.444979785235297,r,11.25524301516794,326.36572548438085,-3.915352575942005,61642.17705938031,61642.17663113957,23.052524251107823,i,12.363733212951853,21.12833620954152,20.90332374750264,162606842.10584724,312671070.646363,327.2556522087842,9.042921392371978,grid_dlon-010_lat+08,prob_maps_grid_dlon-010_lat+08.npz,2026-01-01T00:00:00,90.20000624993276,8.0,4.205598364794947,MBA,2.2578282473163642,0.14668,1.92665,2,0.0036917005415658117,-0.2629974960041148,-0.059738841293828455,mag23,D522325,0.01,23.745428270668913,mag23,0.0078460173622317,373788,61642.153112282744,30.0,31.0,325.93481101602737,-4.2091162795698995,156.0050468846943,r,0.0,373840,61642.17687998216,30.0,31.0,325.93481101602737,-4.2091162795698995,139.63401455881424,i,0.0,373788-373840,True,86,True,86,G
inst00817_part006:S103nAGya:61642,inst00817_part006.h5,13078,S103nAGya,61642,2,34.232301854062825,34.232301854062825,318.99324473913333,-5.940225090797211,-0.19992553199635704,-0.0138452271962042,23.60045004032712,318.9956109116008,-5.94003844226966,61642.15414510912,61642.15371686838,23.861361360267566,r,6.53876278618064,318.99087856666586,-5.9404117393247615,61642.17791754096,61642.17748930022,23.339538720386678,i,7.696549138901208,22.8306131572117,22.562750790465742,110867886.05569722,259886408.37604132,319.545523548397,9.47678860844013,grid_dlon-010_lat+08,prob_maps_grid_dlon-010_lat+08.npz,2026-01-01T00:00:00,90.20000624993276,8.0,3.9251513549376993,MBA,2.2288001123358843,0.28785,1.58724,2,0.0004911562283318017,-0.19631257961711274,0.047327893609144724,mag23,D524569,0.01,24.187699249861375,mag24+,0.0006602999378496164,373790,61642.15396571097,30.0,31.0,319.87425652205366,-6.247018758978787,144.29627597575382,r,0.0,373842,61642.177738142804,30.0,31.0,319.87425652205366,-6.247018758978787,126.39120112850028,i,6.28642737865448e-07,373790-373842,True,57,True,47,W
